comprimento de onda (nm),(1) 2.5-2.5,(1) 2.5-5,(1) 2.5-10,(2) 2.5-10,(2) 5-10,(2) 10-10,(2) 15-10,(3) 10-2.5,(3) 10-5,(3) 10-10,(3) 10-15,(3) 10-20,(4) 5-2.5,(4) 5-5,(4) 5-10,(5) 15-2.5,(5) 15-5,(5) 15-10
332.5,0,2,241,227.7226,234.4175,257.7027,233.3541,5.5797,40.563,257.7027,645.4269,876.5006,0.3886,9.8518,232.5998,4.4957,40.8989,233.3541
333,0,6,289,273.4336,277.5284,289.9628,255.3361,7.0644,49.125,289.9628,690.1741,902.9213,0.7128,16.9713,276.0784,5.2335,45.867,255.3361
333.5,0,12,338,322.9693,322.1098,322.9314,277.7096,8.5461,58.2085,322.9314,733.1337,927.2781,1.2212,26.1537,320.8543,5.8744,50.9499,277.7096
334,1,20,391,374.5323,369.4215,357.3876,301.062,10.5739,67.99,357.3876,774.3931,949.1773,2.4977,37.3979,368.196,6.6042,56.5297,301.062
334.5,2,35,444,426.8438,417.8558,392.4164,324.3134,12.4275,78.5462,392.4164,812.4514,967.7418,4.4041,52.1654,416.8601,7.2926,62.3078,324.3134
335,3,56,496,480.2073,465.9615,427.2312,347.2718,14.0843,90.1808,427.2312,847.2917,983.1159,6.635,70.9461,465.3446,7.9676,68.2646,347.2718
335.5,5,85,548,533.5991,512.7949,460.8794,369.0197,15.3866,102.2531,460.8794,878.7703,996.2363,8.6935,92.3607,511.9425,8.4972,74.1213,369.0197
336,8,115,595,583.7476,557.5767,493.2627,389.9817,17.6776,113.3623,493.2627,906.9753,999.999,11.7637,113.8602,557.2201,9.2069,79.2794,389.9817
336.5,14,149,640,631.66,600.9851,525.0268,410.8902,20.7329,124.2433,525.0268,932.6966,999.999,15.785,136.1069,600.4845,9.7303,84.2513,410.8902
337,20,183,683,677.7049,641.1934,554.5827,430.5356,22.8825,134.4378,554.5827,954.8393,999.999,19.2063,157.9236,640.6498,10.2961,88.7376,430.5356
337.5,26,216,715,715.421,674.715,581.0071,448.5904,23.8831,144.0966,581.0071,972.755,999.999,21.6322,178.7212,674.9381,10.6602,93.415,448.5904
338,32,243,737,743.778,700.9048,604.7722,465.008,25.3658,152.553,604.7722,986.7204,999.999,24.6241,197.4329,701.0568,11.1638,97.2616,465.008
338.5,40,262,754.1766,761.9937,719.5493,624.3491,479.7697,27.3098,159.3131,624.3491,999.999,999.999,27.5474,210.2282,719.8579,11.6549,100.3431,479.7697
339,44,270,762,771.2235,731.655,640.39,492.6885,28.5679,164.4573,640.39,999.999,999.999,29.6175,217.9319,731.9183,12.0407,103.0238,492.6885
339.5,44,271,757,770.5617,735.7958,651.5044,503.4563,28.6173,168.4485,651.5044,999.999,999.999,29.7096,221.4328,734.8801,12.3241,105.355,503.4563
340,40,258,746,761.8994,732.813,659.4047,512.5205,28.9541,171.3533,659.4047,999.999,999.999,28.3968,217.7346,731.2459,12.505,106.9814,512.5205
340.5,33,231,728,743.2126,722.4884,663.4984,519.7761,29.1289,171.8932,663.4984,999.999,999.999,26.0931,205.6744,720.0495,12.732,108.0645,519.7761
341,21,194,700,715.1271,704.895,662.4982,524.6428,29.0417,169.9965,662.4982,999.999,999.999,24.4321,186.3714,701.3926,12.7302,108.4248,524.6428
341.5,11,156,665,680.5815,680.2505,657.0848,527.409,27.5622,167.1119,657.0848,999.999,999.999,21.0734,164.8011,676.0162,12.6997,108.4925,527.409
342,5,117,629,641.6216,649.8228,648.5848,528.3712,26.0063,162.8722,648.5848,999.999,999.999,15.844,141.8765,646.1098,12.643,108.2549,528.3712
342.5,3,82,586,596.5118,615.8714,636.7774,527.683,24.7087,157.1252,636.7774,999.999,999.999,10.9509,118.3657,611.6236,12.5739,107.7964,527.683
343,2,53,539,547.395,575.7816,621.1836,524.8285,24.0179,150.3366,621.1836,999.999,999.999,8.8135,96.1369,571.8043,12.4395,106.6086,524.8285
343.5,1,33,489,495.4379,531.634,601.1869,519.6357,22.9199,142.9878,601.1869,999.999,999.999,7.0424,75.9446,527.6871,12.132,105.157,519.6357
344,1,20,438,440.5655,485.1453,577.2683,511.5755,21.6039,134.618,577.2683,995.9025,999.999,4.7601,59.435,481.1121,11.7589,103.5072,511.5755
344.5,1,13,385,385.7509,436.3755,549.7752,500.7875,20.0491,125.6909,549.7752,981.3585,999.999,2.6637,45.8206,432.7789,11.6909,101.3288,500.7875
